Date,Day of the Week,Amount,Description,Category ,Method of Payment
01/20/23,Friday,64.78,Credit Bill,Bills,Debit
01/21/23,Saturday,65.87,Pants,Entertainment and Recreation,Credit
01/22/23,Sunday,102.62,Clothes and Makeup,Entertainment and Recreation,Credit
01/22/23,Sunday,87.7,Clothes,Entertainment and Recreation,Credit
01/23/23,Monday,4.04,Coffee,Food,Debit
01/23/23,Monday,5.85,Yogurt,Food,Debit
01/23/23,Monday,26.91,Cat Food,Food,Debit
01/23/23,Monday,64.86,Denny's,Food,Credit
01/24/23,Tuesday,26.91,Cat Food,Food,Debit
01/25/23,Wednesday,5.99,Temporary Tattoo,Entertainment and Recreation,Debit
01/25/23,Wednesday,60.15,Refund,Financial goals and Savings,Credit
01/26/23,Thursday,33.37,Refund,Financial goals and Savings,Debit
01/27/23,Friday,588.04,Pay Day,Financial goals and Savings,Debit
01/27,Friday,60.15,Refund,Financial goals and Savings,Credit
01/28,Saturday,25.07,Refund,Financial goals and Savings,Debit
01/28/23,Saturday,93.39,Shoes,Entertainment and Recreation,Debit
01/28/23,Saturday,43.95,Dinner,Food,Debit
01/28/23,Saturday,0.5,Water,Food,Cash
01/29/23,Sunday,2.99,Work Lunch,Food,Debit
01/29/23,Sunday,55.97,Gift for Dad,Entertainment and Recreation,Debit
01/29/23,Sunday,2.99,iCloud+ Bill,Bills,Debit
01/29/23,Sunday,3.59,Work Lunch,Food,Debit
01/30/23,Monday,19.99,Disney+ Bundle,Bills,Debit
01/30/23,Monday,195,Pay Day (Tips),Financial goals and Savings,Cash
01/31/23,Tuesday,101,Donation,Entertainment and Recreation,Debit
02/01/23,Wednesday,7.99,Sandwich,Food,Debit
02/01/23,Wednesday,2.19,Ice Cream,Food,Debit